"","gen","FTmean","FTvar","FTh2","IBmean","pA","pB","pC","FisA","FisB","FisC"
"102",102,99.0272,12.052080992397,0.786126946228411,0.0183691743053414,0.4794,0.461,0.5318,1,1,1
"103",103,99.0812,11.7032878751501,0.81774667700253,0.0184598141629218,0.4768,0.47,0.543,1,1,1
"104",104,99.162,11.8861104441777,0.808495515158371,0.0185622616779029,0.4688,0.4668,0.544,1,1,1
"105",105,99.0716,12.3041951180472,0.799448797359204,0.0187136909718577,0.4668,0.47,0.5542,1,1,1
"106",106,99.1168,12.2392534613846,0.815349915024882,0.0189984838180453,0.4552,0.4592,0.5454,1,1,1
"107",107,99.09,12.2684073629452,0.825421727891711,0.0191504977888705,0.464,0.4512,0.54,1,1,1
"108",108,99.1684,12.4034028011204,0.799583286978045,0.0194105168833755,0.447,0.4524,0.5408,1,1,1
"109",109,98.996,12.0480032012805,0.77915931866523,0.0195998886569154,0.449,0.434,0.5416,1,1,1
"110",110,98.8868,11.8971446178471,0.811299669781314,0.0197628845961054,0.4532,0.4328,0.5454,1,1,1
"111",111,98.9104,12.2304640256102,0.812681416462888,0.0200607075948973,0.4366,0.44,0.5522,1,1,1
"112",112,98.7756,12.0724736294518,0.838376480399907,0.0201832615788884,0.4394,0.452,0.5472,1,1,1
"113",113,98.7688,12.4683338935574,0.809524288795834,0.0202593515444105,0.4394,0.4562,0.554,1,1,1
"114",114,98.6188,12.2079697478992,0.799142081968482,0.0205090346927022,0.4332,0.4478,0.5506,1,1,1
"115",115,98.706,11.7746738695478,0.799001934075584,0.0206352222014823,0.4352,0.454,0.5466,1,1,1
"116",116,98.6376,11.7773771908764,0.801025627309383,0.0208200104693411,0.4234,0.4458,0.5438,1,1,1
"117",117,98.6832,12.1981170068027,0.792703564897926,0.0209559047745754,0.4142,0.4482,0.551,1,1,1
"118",118,98.5736,11.6708513805522,0.791713770333574,0.0212106335481409,0.4244,0.4442,0.5458,1,1,1
"119",119,98.6168,11.855499959984,0.812675877360943,0.0213968515557568,0.4404,0.4472,0.556,1,1,1
"120",120,98.634,11.7943617446979,0.797602994628167,0.0217601214905845,0.4294,0.4512,0.5464,1,1,1
"121",121,98.7004,11.6641054821929,0.794151030157895,0.0215938570107698,0.4304,0.4442,0.5512,1,1,1
"122",122,98.704,10.9271548619448,0.823965758180332,0.0219528218190021,0.4452,0.4342,0.5524,1,1,1
"123",123,98.7368,11.3952838735494,0.830763935449184,0.0220036796959896,0.4492,0.435,0.5434,1,1,1
"124",124,98.7948,11.6341466186475,0.803823261439938,0.0221923936615492,0.4456,0.4412,0.547,1,1,1
"125",125,98.8812,11.1811590236094,0.809771242256256,0.0225027600035215,0.4504,0.4424,0.5472,1,1,1
"126",126,98.8272,11.6636056022409,0.794376095331122,0.0226659711862032,0.4488,0.458,0.5266,1,1,1
"127",127,98.6648,12.1509013205282,0.798696018887788,0.0227345514600077,0.466,0.4594,0.5272,1,1,1
"128",128,98.656,12.1649299719888,0.793025089341635,0.0230158623135252,0.4606,0.4504,0.5244,1,1,1
"129",129,98.6512,12.341675230092,0.814503712721947,0.0231469987921268,0.4656,0.4482,0.5176,1,1,1
"130",130,98.6216,11.7455116446579,0.815513048472389,0.0231999308312074,0.4732,0.4468,0.5102,1,1,1
"131",131,98.6952,11.7485963985594,0.814550743469738,0.0236023805724705,0.477,0.4448,0.5122,1,1,1
"132",132,98.7832,11.6208460984394,0.815727104150128,0.0236426863089852,0.4756,0.4496,0.5032,1,1,1
"133",133,98.8436,12.2096228891557,0.794356301124157,0.0239321292308069,0.4638,0.4482,0.4948,1,1,1
"134",134,98.818,11.4582593037215,0.8209872743039,0.0241661825549749,0.4618,0.4534,0.5016,1,1,1
"135",135,98.8408,11.2695631852741,0.816597581283435,0.0243342494986722,0.4496,0.4658,0.5146,1,1,1
"136",136,98.8744,11.6512851540616,0.800405278623284,0.0246684058574087,0.4558,0.4732,0.5138,1,1,1
"137",137,98.784,11.7780552220888,0.798822071282382,0.0246329618237613,0.4544,0.4728,0.5168,1,1,1
"138",138,98.8352,12.0568637054822,0.819645989653192,0.0248719304866882,0.4448,0.4772,0.5212,1,1,1
"139",139,98.8132,11.8846596238495,0.810389243357096,0.0248803638967945,0.4516,0.4752,0.5068,1,1,1
"140",140,98.724,12.0918607442977,0.823370569959984,0.0252688640558893,0.4506,0.4692,0.5026,1,1,1
"141",141,98.7796,12.2615284513806,0.804045287564279,0.0253214206430626,0.4556,0.4668,0.5064,1,1,1
"142",142,98.7888,11.9393703081232,0.797358176866295,0.0255398722956244,0.4482,0.4658,0.4924,1,1,1
"143",143,98.7384,11.6842391356543,0.787933918198929,0.0255793297060325,0.438,0.468,0.4842,1,1,1
"144",144,98.6996,11.0545816726691,0.831492826623221,0.0259475674269615,0.4402,0.4698,0.4826,1,1,1
"145",145,98.776,12.0706522609044,0.805487711407029,0.0260158901293113,0.44,0.4716,0.4852,1,1,1
"146",146,98.6392,11.9666100040016,0.81261077575384,0.0263908456207334,0.4356,0.46,0.4808,1,1,1
"147",147,98.7296,11.6779550220088,0.801405257357299,0.0263976397805562,0.4406,0.4612,0.4964,1,1,1
"148",148,98.7392,11.7975023609444,0.786328170112335,0.0268373406339156,0.4516,0.4636,0.5108,1,1,1
"149",149,98.6544,11.3731098839536,0.81445525895528,0.0269757198898588,0.4492,0.4532,0.5116,1,1,1
"150",150,98.554,12.0975230092037,0.792099209737061,0.0269667818411766,0.438,0.4586,0.4984,1,1,1
"151",151,98.5132,11.6528869147659,0.81879204236852,0.0271495648736678,0.4448,0.4598,0.5002,1,1,1
"152",152,98.5424,11.4103663865546,0.81234814044961,0.0273343391019077,0.4516,0.457,0.4936,1,1,1
"153",153,98.6864,12.0264656262505,0.770861659993198,0.0273846022995038,0.4612,0.4646,0.494,1,1,1
"154",154,98.6888,11.8590981992797,0.812209025069012,0.0278372919744793,0.4742,0.463,0.4886,1,1,1
"155",155,98.7084,11.8160958783513,0.79454026797421,0.0278475448624142,0.4734,0.4666,0.4922,1,1,1
"156",156,98.6308,11.8176184073629,0.810790153580148,0.0280161894441529,0.466,0.4662,0.4942,1,1,1
"157",157,98.6656,11.980969027611,0.801172204487458,0.0281799943954175,0.4574,0.4678,0.4984,1,1,1
"158",158,98.6336,11.6552131252501,0.809188657912613,0.0283912961034132,0.4628,0.4716,0.4898,1,1,1
"159",159,98.6068,11.7665003601441,0.803375419839023,0.028640406940358,0.4618,0.4752,0.4858,1,1,1
"160",160,98.4868,12.2283170868347,0.792935888048458,0.0290896742689629,0.4666,0.4808,0.4862,1,1,1
"161",161,98.5116,11.5929026010404,0.784069026295967,0.0288682066206473,0.468,0.4768,0.483,1,1,1
"162",162,98.6416,12.1011899159664,0.789548619389091,0.0292117120831646,0.474,0.481,0.4776,1,1,1
"163",163,98.6968,11.6151158063225,0.814355528712044,0.0292709718734181,0.474,0.4766,0.4836,1,1,1
"164",164,98.6376,11.4484456182473,0.806875337962706,0.0295696693611374,0.4764,0.4768,0.5016,1,1,1
"165",165,98.6932,11.3164003201281,0.786516500162923,0.0296936092558769,0.4852,0.4832,0.4866,1,1,1
"166",166,98.7284,11.5552555422169,0.767544038692998,0.0298064689722855,0.4784,0.4876,0.4922,1,1,1
"167",167,98.5868,11.9064283313325,0.75396176812144,0.0300127584765759,0.4754,0.4842,0.4916,1,1,1
